symbol,time,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
NFLX SEWJWLJNHZDX,3/5/2011,30.088541,30.182827,29.107114,29.125685,6173077,30.088541,27.622112,30.288201,1.333045,32.95429,2.026574,0.161428,0.518714,23.73451
NFLX SEWJWLJNHZDX,3/8/2011,29.617113,30.698541,29.178542,30.675684,5174349,29.617113,28.632841,30.166185,0.766672,31.69953,1.97483,0.161143,0.565857,22.165455
NFLX SEWJWLJNHZDX,3/9/2011,27.908544,28.892828,27.765687,28.599971,9265911,27.908544,28.225019,29.755705,0.765343,31.286391,1.882171,0.161143,0.536285,23.105285
NFLX SEWJWLJNHZDX,3/10/2011,27.571401,28.4914,27.307116,27.898544,7045919,27.571401,27.466138,29.358559,0.94621,31.250979,1.811712,0.161143,0.420285,27.714988
NFLX SEWJWLJNHZDX,3/11/2011,28.574257,29.105685,26.985687,27.307116,9848257,28.574257,27.531585,29.215958,0.842187,30.900332,1.910194,0.203857,0.420285,32.661936
NFLX SEWJWLJNHZDX,3/12/2011,29.234256,29.317114,28.587114,28.888543,4891405,29.234256,27.744431,29.219285,0.737427,30.69414,1.959108,0.269857,0.382428,41.371003
NFLX SEWJWLJNHZDX,3/15/2011,28.745686,29.571399,28.402829,29.032828,4217560,28.745686,27.693777,29.133176,0.7197,30.572575,1.916933,0.269857,0.347428,43.716732
NFLX SEWJWLJNHZDX,3/16/2011,30.999969,31.314254,28.857114,28.9214,10673349,30.999969,27.571172,29.472593,0.950711,31.374015,2.023666,0.495285,0.326714,60.253737
NFLX SEWJWLJNHZDX,3/17/2011,30.561398,31.909968,30.321398,31.575683,8149567,30.561398,27.574348,29.670558,1.048105,31.766767,1.942171,0.495285,0.356714,58.132126
NFLX SEWJWLJNHZDX,3/18/2011,30.557112,31.381397,30.407112,30.991398,3987397,30.557112,27.598139,29.831749,1.116805,32.06536,1.902297,0.495285,0.344857,58.952559
